postcode,roofs,green_area,total_affordable_units,extremely_lowincome_units,very_lowincome_units,lowincome_units,units_mutated
10451,7,3847.463874285714,4144,619,637,2237,41.44
10452,5,1766.36755,4770,1201,1273,2031,47.7
10453,15,1405.6293886666667,3792,733,1118,1755,37.92
10454,2,1608.27437,2738,1487,300,802,27.38
10455,7,4097.4352257142855,2946,474,652,1461,29.46
10456,4,2560.354405,3972,1451,1185,1163,39.72
10457,6,1538.183515,4643,829,794,2615,46.43
10458,3,2193.2094166666666,2930,1016,377,1014,29.3
10459,9,3627.032467777778,3508,790,927,1593,35.08
10460,3,2611.4302199999997,4427,1424,593,2174,44.27
10461,3,3610.8238133333334,235,75,81,52,2.35
10462,3,5077.303846666667,514,253,33,208,5.14
10463,5,3651.9839699999998,480,0,270,78,4.8
10467,1,4774.32463,2066,409,611,820,20.66
10468,2,710.4341850000001,1892,235,286,731,18.92
10471,3,13321.558333333332,95,0,8,86,0.95
10473,2,10293.021185,3946,728,2413,636,39.46
10474,2,3939.815105,901,91,232,496,9.01
