postcode,buildings,estimated_solar_capacity,mean_estimated_solar,mean_roof_space,total_affordable_units,extremely_lowincome_units,very_lowincome_units,lowincome_units
11205,4,154.46,38.615,9042.95,840,186,51,395
11207,5,550.71,110.142,17615.21,2935,659,945,1130
11212,18,720,40,8720.72,4027,911,553,2459
11217,3,85.34,28.446666666666665,10025.783333333333,2202,106,364,1060
11221,1,109.54,109.54,16081.25,1672,178,407,552
11233,22,771.66,35.07545454545455,7004.845454545454,3441,434,586,1464
11234,17,666.38,39.19882352941176,8650.751176470589,4,0,0,2
11236,3,113.41,37.803333333333335,8243.906666666668,44,0,1,29
11238,3,132.25,44.083333333333336,7684.2,2933,136,586,1278
11249,5,340.24,68.048,10790.65,650,76,31,458
